generation_order,group,variant_code,output_filename,register_name,siteiq_family,qty,prior_hold_reason,authorisation,art_direction,match_checklist
11,HELD_TOOLING,78EYEBOLT,78EYEBOLT.jpg,"Eye Bolt BS529 , 7/8mm, Whitworth Sizing, Pitch, 0.125mm, WLL 2t",Coates Equipment,4,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: Eye Bolt BS529 , 7/8mm, Whitworth Sizing, Pitch, 0.125mm, WLL 2t. One eye bolt standing on its thread collar, eye to the camera. Standing upright on the floor, camera at item height, three-quarter view so two faces show. THE MARKINGS THAT MUST BE READABLE: 8mm | 0.125mm | 2t. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Forged eye and thread both visible; WLL stamp toward camera ; stamped/labelled sizes readable: 8mm, 0.125mm, 2t ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
12,HELD_TOOLING,ACETYLEGUAGE,ACETYLEGUAGE.jpg,Acetylene Gauge,Welding,8,Gas connection and regulator geometry is safety-relevant,RENDER_FROM_DESCRIPTION,"THE ITEM: Acetylene Gauge. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
13,HELD_TOOLING,ADAPTOR415V32A5PCEECLIP,ADAPTOR415V32A5PCEECLIP.jpg,32 Amp 415V Adaptor 5 Pin for Ceeform to Clipsal,Tools & Equipment,3,"Second pass: powered, pneumatic, plant, lifting or model-specific equipment",RENDER_FROM_DESCRIPTION,"THE ITEM: 32 Amp 415V Adaptor 5 Pin for Ceeform to Clipsal. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 415v. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; stamped/labelled sizes readable: 415v ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
14,HELD_TOOLING,ADAPTOR415V32A5PCLIPCEE,ADAPTOR415V32A5PCLIPCEE.jpg,32 Amp 415V Adaptor 5 Pin for Clipsal to Ceeform,Tools & Equipment,1,"Second pass: powered, pneumatic, plant, lifting or model-specific equipment",RENDER_FROM_DESCRIPTION,"THE ITEM: 32 Amp 415V Adaptor 5 Pin for Clipsal to Ceeform. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 415v. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; stamped/labelled sizes readable: 415v ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
15,HELD_TOOLING,AIRARCGOUG,AIRARCGOUG.jpg,Air Arc Gouging Torch,Welding,10,Welder or powered welding equipment,RENDER_FROM_DESCRIPTION,"THE ITEM: Air Arc Gouging Torch. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
16,HELD_TOOLING,AIRDRILL12,AIRDRILL12.jpg,"Air Drill 1/2""",Coates Equipment,1,Powered tool likely to carry an asset/test tag,RENDER_FROM_DESCRIPTION,"THE ITEM: Air Drill 1/2"". The drill standing on its battery or rested on its side handle, chuck toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 1/2"". HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Chuck toward camera; battery fitted if cordless ; stamped/labelled sizes readable: 1/2"" ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
17,HELD_TOOLING,AIRDRILL38,AIRDRILL38.jpg,"Air Drill 3/8""",Coates Equipment,1,Powered tool likely to carry an asset/test tag,RENDER_FROM_DESCRIPTION,"THE ITEM: Air Drill 3/8"". The drill standing on its battery or rested on its side handle, chuck toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 3/8"". HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Chuck toward camera; battery fitted if cordless ; stamped/labelled sizes readable: 3/8"" ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
18,HELD_TOOLING,AIRHADMINANITTO,AIRHADMINANITTO.jpg,Air Hose Adaptor - Minsup A To Nitto,Air & Air Accessories,25,Minsup/Nitto/Thor and hose-end geometry must be exact,RENDER_FROM_DESCRIPTION,"THE ITEM: Air Hose Adaptor - Minsup A To Nitto. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
19,HELD_TOOLING,AIRHOSEFITTMINSUPTHOR,AIRHOSEFITTMINSUPTHOR.jpg,Air Hose Fitting - Minsup - Thor,Air & Air Accessories,129,Minsup/Nitto/Thor and hose-end geometry must be exact,RENDER_FROM_DESCRIPTION,"THE ITEM: Air Hose Fitting - Minsup - Thor. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
20,HELD_TOOLING,AIRLINEYPIECE,AIRLINEYPIECE.jpg,Airline Y Piece,Industrial Tools & Equipment,2,Minsup/Nitto/Thor and hose-end geometry must be exact,RENDER_FROM_DESCRIPTION,"THE ITEM: Airline Y Piece. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
21,HELD_TOOLING,AIRNOZZLELGE,AIRNOZZLELGE.jpg,Air Nozzle - Large,Industrial Tools & Equipment,1,Minsup/Nitto/Thor and hose-end geometry must be exact,RENDER_FROM_DESCRIPTION,"THE ITEM: Air Nozzle - Large. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
22,HELD_TOOLING,AIRNOZZLESMALL,AIRNOZZLESMALL.jpg,Air Nozzle - Small,Industrial Tools & Equipment,2,Minsup/Nitto/Thor and hose-end geometry must be exact,RENDER_FROM_DESCRIPTION,"THE ITEM: Air Nozzle - Small. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
