variant_code,register_name,their_status,DECISION,ANSWER_NOTES,release_status
CEME9016-590677,BROOM - HEAVY DUTY HAIR/FIBRE 600MM (NO HANDLE) - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590678,BROOM - HEAVY DUTY HAIR/FIBRE 600MM (NO HANDLE) - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590679,BUCKET - PLASTIC 9L BLACK WITH HANDLE - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590680,BUCKET - UTILITY PLASTIC 10L WHITE (WITH LID) - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590681,BUCKET - UTILITY PLASTIC 20L WHITE (WITH LID) - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590682,CABLE TIE - NYLON UV BLACK 152 X 3.5MM PK100 - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590683,CLEANER - ELECTRICAL CONTACT CRC CO 2016 350G - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590684,CLEANER - LENS UVEX 1009 SPRAY PACK 500ML - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590685,CLOTH - CLEAN ABSORBENT 490MM X 70M - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590686,CLOTH - CLEAN ROAR 245MM X 70M - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590687,DIPHOTERINE - EYEWASH EYE-SIEW 50ML - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590688,DIPHOTERINE - EYEWASH EYE-SIEW 50ML - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590689,DIPHOTERINE - FACE/HAND SPRAY 100ML - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590690,DUSTPAN - METAL D-HANDLE - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590691,FLAP DISC WHEEL - 127MM 60 GRIT - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590692,GASKET FORMING COMPOUND - MASTER 51531 - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590693,HAMMER - WELDERS CHIPPING SPRING HANDLE - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590867,Hi Vis Breathable Rain Jacket Medium,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590868,Hi Vis Breathable Rain Jacket Small,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590869,Hi Vis Breathable Rain Jacket X Large,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590870,Hi Vis Breathable Rain Jacket XX Large,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590694,ICE BLOCK - ELECTROLYTE MIXED PK15 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
WEL802-L50PIN,LOCH 6mm Pin suits 50mm Cutter,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590695,OIL - PENETRATING CRC 5-56 400G - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590696,OIL - PENETRATING PENETRENE 500ML - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590874,OVERALL - TYVEK CHEMICAL RESISTANT HOODED 3X Large,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590882,OVERALL - TYVEK CHEMICAL RESISTANT HOODED Large,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590697,OVERALL - TYVEK CHEMICAL RESISTANT HOODED XL - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590698,OVERALL - TYVEK CHEMICAL RESISTANT HOODED XXL - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590699,PADLOCK - LOCKOUT MASTER 410 (RED) - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590700,PADLOCK - LOCKOUT MASTER 410 (RED) - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590701,PAINT - ZINC COLD GALVANISE SPRAY 400G - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590702,PAINT BRUSH - BUDGET 50MM - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590703,PAINT BRUSH - BUDGET 75MM - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590704,PAINT BRUSH - TRADESMAN 25MM - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590871,Pelican Pick,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590705,RAG - COTTON WIPING 10KG SLAB - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590872,Rain Jacket Set  Coat And Pants,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590706,RESPIRATOR - P2 DISPOSABLE 8822 - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590707,RESPIRATOR - P2V FLATFOLD CARBON - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590708,ROPE - POLYPROPYLENE 10MM X 250M - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590709,ROPE - SISAL 6MM DIAMETER - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590710,SAFETY GLASSES - DAY/NIGHT - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590711,SAFETY TAG - GROUP ISOLATION - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590712,SAFETY TAG - INFORMATION - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590713,SAFETY TAG - OUT OF SERVICE - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590714,SAFETY TAG - PERSONAL ISOLATION - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590715,SEALANT - HEAT RESISTANT RTV736 RED 305ML - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590716,SEALANT - HEAT RESISTANT RTV736 RED 305ML - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590717,SHOVEL - SQUARE MOUTH LONG HANDLE MEDIUM 265 X 315MM - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590873,Solvent Resistent Barrier Cream 500ml,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590718,SQWINCHER SACHET - LEMON LIME 185ML PK50 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590719,SQWINCHER SACHET - LEMON LIME 185ML PK50 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590720,SQWINCHER SACHET - ORANGE 185ML PK50 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590721,SQWINCHER SACHET - ORANGE 185ML PK50 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590722,SQWINCHER SACHET - WILD BERRY 185ML PK50 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590723,TAPE - BARRIER 'DO NOT ENTER' BLACK/RED/WHITE - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590724,TAPE - CAUTION BARRICADE YELLOW/BLACK 75MM X 100M - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590725,TAPE - CAUTION BARRICADE YELLOW/BLACK 75MM X 100M - K2/26 (alt),AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590726,TAPE - DUCT PVC SILVER TESA 48 X 30M - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590727,WATER - BOTTLED 600ML PK24 - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590728,WIPES - ANTIBACTERIAL 42 X 14.3CM PK75 - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590729,WIPES - INDUSTRIAL ULTRAGRIME PK100 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
